STRAATNAAM,POSTCODE_VAN,POSTCODE_TOT,PRODUCTSOORT,Aantal Aansluitingen,%Leveringsrichting,%Fysieke status,SJV,%SJV laag tarief
De Ruyterkade,1011AB,1011AB,ELK,24,100.0,75.0,15694,37.5
De Ruyterkade,1011AC,1011AC,ELK,33,100.0,72.73,11739,15.15
De Ruyterkade,1011AC,1011AC,GAS,22,100.0,77.27,3849,0.0
Oosterdokskade,1011AD,1011AD,ELK,21,100.0,33.33,4557,47.62
Oosterdokskade,1011AD,1011AE,GAS,11,100.0,63.64,1231,0.0
Oosterdokskade AB,1011AE,1011AE,ELK,19,100.0,36.84,3231,26.32
Prins Hendrikkade,1011AG,1011AG,ELK,12,100.0,91.67,14012,41.67
Prins Hendrikkade,1011AG,1011AH,GAS,27,100.0,100.0,2075,0.0
Prins Hendrikkade,1011AH,1011AH,ELK,21,100.0,100.0,3570,14.29
Prins Hendrikkade,1011AJ,1011AJ,ELK,18,100.0,94.44,2562,11.11
Prins Hendrikkade,1011AJ,1011AJ,GAS,15,100.0,93.33,1496,0.0
Prins Hendrikkade,1011AK,1011AK,ELK,13,100.0,92.31,9582,38.46
Houtkopersdwarsstraat,1011AL,1011AM,ELK,14,100.0,92.86,7674,42.86
Prins Hendrikkade,1011AM,1011AN,GAS,27,100.0,88.89,2004,0.0
Prins Hendrikkade,1011AN,1011AN,ELK,28,100.0,96.43,3637,25.0
Prins Hendrikkade,1011AP,1011AP,ELK,20,100.0,95.0,4584,15.0
Prins Hendrikkade,1011AP,1011AP,GAS,19,100.0,100.0,2345,0.0
Prins Hendrikkade,1011AR,1011AR,ELK,33,100.0,93.94,6919,27.27
Prins Hendrikkade,1011AR,1011AR,GAS,19,100.0,94.74,2785,0.0
SCHIPPERSSTR,1011AS,1011AS,ELK,13,100.0,84.62,6434,38.46
Prins Hendrikkade,1011AS,1011AV,GAS,20,100.0,100.0,5729,0.0
Prins Hendrikkade,1011AT,1011AT,ELK,17,100.0,100.0,8217,58.82
Prins Hendrikkade,1011AV,1011AV,ELK,18,100.0,94.44,4565,27.78
Prins Hendrikkade,1011AW,1011AW,ELK,21,100.0,95.24,2760,9.52
