STRAATNAAM,POSTCODE_VAN,POSTCODE_TOT,PRODUCTSOORT,Aantal Aansluitingen,%Leveringsrichting,%Fysieke status,SJV,%SJV laag tarief
De Ruyterkade,1011AB,1011AB,ELK,25,100,68,14981,16
De Ruyterkade,1011AC,1011AC,ELK,33,100,"66,67",11210,"15,15"
De Ruyterkade,1011AC,1011AC,GAS,22,100,"81,82",3893,0
Oosterdokskade,1011AD,1011AD,ELK,21,100,"23,81",3859,"38,1"
Oosterdokskade,1011AD,1011AE,GAS,11,100,"45,45",1279,0
Oosterdokskade AB,1011AE,1011AE,ELK,19,100,"36,84",2989,"26,32"
Prins Hendrikkade,1011AG,1011AG,ELK,12,100,"91,67",17293,"58,33"
Prins Hendrikkade,1011AG,1011AH,GAS,27,100,100,2869,0
Prins Hendrikkade,1011AH,1011AH,ELK,21,100,100,3187,"14,29"
Prins Hendrikkade,1011AJ,1011AJ,ELK,18,100,"83,33",9344,"11,11"
Prins Hendrikkade,1011AJ,1011AJ,GAS,15,100,"86,67",1770,0
Prins Hendrikkade,1011AK,1011AK,ELK,13,100,"84,62",6333,"23,08"
Houtkopersdwarsstraat,1011AL,1011AM,ELK,14,100,"92,86",7072,"35,71"
Prins Hendrikkade,1011AM,1011AN,GAS,27,100,"96,3",2218,0
Prins Hendrikkade,1011AN,1011AN,ELK,28,100,"96,43",2753,"10,71"
Prins Hendrikkade,1011AP,1011AP,ELK,20,100,70,5289,15
Prins Hendrikkade,1011AP,1011AP,GAS,19,100,"73,68",2605,0
Prins Hendrikkade,1011AR,1011AR,ELK,33,100,"93,94",7010,"21,21"
Prins Hendrikkade,1011AR,1011AR,GAS,19,100,100,2502,0
SCHIPPERSSTR,1011AS,1011AS,ELK,13,100,"84,62",4607,"23,08"
Prins Hendrikkade,1011AS,1011AV,GAS,20,100,100,5996,0
Prins Hendrikkade,1011AT,1011AT,ELK,17,100,100,6940,"23,53"
Prins Hendrikkade,1011AV,1011AV,ELK,18,100,"88,89",4799,"16,67"
Prins Hendrikkade,1011AW,1011AW,ELK,21,100,"95,24",2725,"9,52"
Prins Hendrikkade,1011AW,1011AW,GAS,13,100,100,1400,0
Buiten Bantammerstraat,1011AX,1011AX,ELK,15,100,"86,67",3968,"6,67"
Buiten Bantammerstraat,1011AX,1011AX,GAS,13,100,"92,31",2488,0
Schippersstraat,1011AZ,1011AZ,ELK,16,100,"93,75",3298,75
Schippersstraat,1011AZ,1011AZ,GAS,14,100,"92,86",2331,0
Schippersstraat,1011BA,1011BA,ELK,13,100,"23,08",1901,"30,77"
Schippersstraat,1011BA,1011BA,GAS,11,100,"18,18",982,0
Schippersstraat,1011BB,1011BC,ELK,24,100,"95,83",3383,"16,67"
Schippersstraat,1011BB,1011BC,GAS,22,100,"95,45",2278,0
Kalkmarkt,1011BD,1011BD,ELK,23,100,"78,26",4416,"21,74"
Kalkmarkt,1011BD,1011BD,GAS,15,100,100,2558,0
Binnenkant AB,1011BE,1011BE,ELK,10,100,100,2703,0
Binnenkant AB,1011BE,1011BH,GAS,43,100,"95,35",2122,0
Binnenkant,1011BG,1011BG,ELK,17,100,"70,59",2396,"11,76"
Binnenkant,1011BH,1011BH,ELK,32,100,"93,75",3376,"15,63"
Binnenkant,1011BJ,1011BJ,ELK,22,100,"90,91",6422,"22,73"
Binnenkant,1011BJ,1011BJ,GAS,16,100,100,3450,0
Binnenkant,1011BK,1011BK,ELK,16,100,100,2560,0
Binnenkant,1011BK,1011BK,GAS,14,100,100,1553,0
Binnenkant,1011BL,1011BM,ELK,23,100,100,1831,0
Binnenkant,1011BL,1011BM,GAS,20,100,100,1447,0
Binnenkant,1011BN,1011BN,ELK,21,100,"71,43",3394,0
Binnenkant,1011BN,1011BN,GAS,15,100,"86,67",1553,0
Binnenkant,1011BP,1011BP,ELK,17,100,"88,24",3068,"5,88"
Binnenkant,1011BP,1011BP,GAS,14,100,"92,86",2757,0
Binnenkant,1011BR,1011BR,ELK,15,100,100,2828,20
Binnenkant,1011BR,1011BR,GAS,11,100,100,1619,0
Kromme Waal,1011BS,1011BS,ELK,26,100,"76,92",3165,"11,54"
Kromme Waal,1011BS,1011BS,GAS,24,100,"66,67",2010,0
Kromme Waal,1011BT,1011BT,ELK,31,100,"93,55",2660,"6,45"
