,leveringsrichting,postcode_tot,postcode_van,sjv,soort
130,100,1011EW,1011EV,3654,ELK
131,100,1011EW,1011EV,1271,GAS
132,100,1011EX,1011EX,1226,GAS
133,100,1011EX,1011EX,4416,ELK
134,100,1011EZ,1011EZ,1850,ELK
135,100,1011GA,1011EZ,1090,GAS
136,100,1011GA,1011GA,2294,ELK
137,100,1011GD,1011GB,1186,GAS
138,100,1011GC,1011GB,1827,ELK
139,"96,15",1011GD,1011GD,2405,ELK
140,100,1011GG,1011GG,1455,ELK
141,100,1011GG,1011GG,1231,GAS
142,100,1011GH,1011GH,1489,ELK
143,100,1011GH,1011GH,1152,GAS
144,100,1011GJ,1011GJ,2327,ELK
145,100,1011GJ,1011GJ,1279,GAS
146,100,1011GL,1011GK,776,GAS
147,100,1011GL,1011GK,1722,ELK
148,100,1011GM,1011GM,1359,GAS
149,100,1011GM,1011GM,2182,ELK
150,100,1011GN,1011GN,1734,ELK
151,100,1011GN,1011GN,1518,GAS
152,100,1011GR,1011GP,1090,GAS
153,100,1011GP,1011GP,4369,ELK
154,100,1011GR,1011GR,1575,ELK
155,100,1011GS,1011GS,1471,GAS
156,"97,62",1011GS,1011GS,4082,ELK
157,100,1011GT,1011GT,1043,GAS
158,100,1011GT,1011GT,1675,ELK
159,100,1011GV,1011GV,1885,ELK
160,100,1011GV,1011GV,1364,GAS
161,100,1011GW,1011GW,3608,GAS
162,100,1011GW,1011GW,7503,ELK
163,100,1011GX,1011GX,1124,GAS
164,100,1011GX,1011GX,1174,ELK
165,100,1011GZ,1011GZ,871,GAS
166,100,1011GZ,1011GZ,1512,ELK
167,100,1011HB,1011HA,1137,GAS
168,100,1011HB,1011HA,3273,ELK
169,100,1011HC,1011HC,3848,ELK
170,100,1011HC,1011HC,859,GAS
171,100,1011HD,1011HD,1173,GAS
172,100,1011HD,1011HD,4708,ELK
173,100,1011HE,1011HE,1374,GAS
174,100,1011HE,1011HE,6565,ELK
175,100,1011HG,1011HG,980,GAS
176,100,1011HG,1011HG,4842,ELK
177,100,1011HH,1011HH,1123,GAS
178,100,1011HH,1011HH,2140,ELK
179,100,1011HJ,1011HJ,2558,ELK
180,100,1011HJ,1011HJ,1429,GAS
181,100,1011HK,1011HK,1690,GAS
182,100,1011HK,1011HK,2523,ELK
183,100,1011HL,1011HL,1685,ELK
184,100,1011HL,1011HL,1120,GAS
185,100,1011HP,1011HM,2421,ELK
186,100,1011HP,1011HM,1615,GAS
187,100,1011HR,1011HR,4149,ELK
188,100,1011HR,1011HR,1546,GAS
189,100,1011HS,1011HS,1300,GAS
190,100,1011HS,1011HS,2361,ELK
191,100,1011HT,1011HT,1696,GAS
