STRAATNAAM,POSTCODE_VAN,POSTCODE_TOT,PRODUCTSOORT,Aantal Aansluitingen,%Leveringsrichting,%Fysieke status,SJV,%SJV laag tarief
De Ruyterkade,1011AB,1011AB,ELK,23,100,"78,26",14761,"39,13"
De Ruyterkade,1011AC,1011AC,ELK,31,100,"77,42",12139,"16,13"
Oosterdokskade,1011AD,1011AD,ELK,21,100,"66,67",5082,"47,62"
Oosterdokskade AB,1011AE,1011AE,ELK,15,100,60,3712,"33,33"
Prins Hendrikkade,1011AG,1011AG,ELK,12,100,"91,67",19837,"41,67"
Prins Hendrikkade,1011AH,1011AH,ELK,21,100,100,3781,"14,29"
Prins Hendrikkade,1011AJ,1011AJ,ELK,18,100,"94,44",3478,"5,56"
Prins Hendrikkade,1011AK,1011AK,ELK,11,100,"90,91",5395,"36,36"
Houtkopersdwarsstraat,1011AL,1011AM,ELK,14,100,"92,86",10168,"35,71"
Prins Hendrikkade,1011AN,1011AN,ELK,27,100,"96,3",3143,"25,93"
Prins Hendrikkade,1011AP,1011AP,ELK,19,100,"94,74",5034,"15,79"
Prins Hendrikkade,1011AR,1011AR,ELK,33,100,"96,97",7184,"27,27"
SCHIPPERSSTR,1011AS,1011AS,ELK,13,100,"84,62",6801,"46,15"
Prins Hendrikkade,1011AT,1011AT,ELK,17,100,100,9116,"64,71"
Prins Hendrikkade,1011AV,1011AV,ELK,18,100,"94,44",4777,"27,78"
Prins Hendrikkade,1011AW,1011AW,ELK,21,100,"95,24",3156,"9,52"
Buiten Bantammerstraat,1011AX,1011AX,ELK,15,100,"86,67",3968,"6,67"
Schippersstraat,1011AZ,1011AZ,ELK,14,100,100,3139,"14,29"
Schippersstraat,1011BA,1011BC,ELK,32,100,"96,88",3287,"9,38"
Kalkmarkt,1011BD,1011BD,ELK,21,100,"76,19",4976,"4,76"
Binnenkant AB,1011BE,1011BE,ELK,10,100,100,2513,0
Binnenkant,1011BG,1011BG,ELK,17,100,"70,59",2529,"17,65"
Binnenkant,1011BH,1011BH,ELK,26,100,"96,15",3518,"15,38"
Binnenkant,1011BJ,1011BJ,ELK,20,100,95,7693,15
