ZAAKNAAM,ADRES,OPENINGSTIJDEN_ZO_DO_VAN,OPENINGSTIJDEN_ZO_DO_TOT,OPENINGSTIJDEN_VR_ZA_VAN,OPENINGSTIJDEN_VR_ZA_TOT,LOCATIE_WKT
7 black,Abraham Staalmanplein 1,07:00,01:00,07:00,03:00,POINT (4.82783595965947 52.3497973543995)
Restaurant Florence,Admiraal De Ruijterweg 396-H,07:00,01:00,07:00,03:00,POINT (4.85146527067369 52.3826842928733)
TAKE A BITE,Admiraal De Ruijterweg 221-H,07:00,01:00,07:00,01:00,POINT (4.85756691602945 52.3772292868031)
Bar Roseval,Admiraal De Ruijterweg 404-H,07:00,01:00,07:00,03:00,POINT (4.85108135364663 52.3828533215192)
Amsterdam Gencler Birligi (Agb),Abe Lenstralaan 6,07:00,01:00,07:00,03:00,POINT (4.79865721702691 52.3720712581014)
Wilhelmina's Bar,Aalsmeerweg 34-H,07:00,01:00,07:00,03:00,POINT (4.84921729971099 52.3500131708237)
Toko Betawi,Admiraal De Ruijterweg 337-H,07:00,01:00,07:00,03:00,POINT (4.85382119091238 52.3809693007394)
Grannies,Aalsmeerweg 1,07:00,01:00,07:00,03:00,POINT (4.84969149852152 52.3508511726278)
CAFE SUPER ANGELO,Albert Cuypstraat 158A,07:00,01:00,07:00,03:00,POINT (4.89456466568009 52.3556478349421)
Café Neutraal,Albert Cuypstraat 159-H,07:00,01:00,07:00,03:00,POINT (4.8936976716778 52.3557341042604)
Floreyn B.V.,Albert Cuypstraat 31-H,07:00,01:00,07:00,03:00,POINT (4.8878229372804 52.3547208621719)
"Koffiehuis ""De Markt"";""Albert Cuypstraat 122B-H",Café,07:00,01:00,07:00,03:00,POINT (4.89252884036355 52.3552439015007)
Bar Toko,Albert Cuypstraat 124-H,07:00,01:00,07:00,03:00,POINT (4.89261670687476 52.3552622433819)
Sir Albert Hotel BV,Albert Cuypstraat 2,07:00,01:00,07:00,03:00,POINT (4.88747320201204 52.3544946980092)
Saskia's Huiskamerrestaurant,Albert Cuypstraat 203C-H,07:00,01:00,07:00,03:00,POINT (4.89557217085642 52.3561283608617)
Café Bozz,Albert Cuypstraat 240-H,07:00,01:00,07:00,03:00,POINT (4.89790152939438 52.3565424414918)
Ikura Sushibar,Albert Cuypstraat 65-H,07:00,01:00,07:00,03:00,POINT (4.88947918892128 52.354934543641)
SR Foods,Albert Cuypstraat 67-H,07:00,01:00,07:00,03:00,POINT (4.88955257718886 52.3549348517932)
De Bazar Amsterdam B.V.,Albert Cuypstraat 182,07:00,01:00,07:00,03:00,POINT (4.895179545256 52.3557941905605)
Burgermeester,Albert Cuypstraat 48-H,07:00,01:00,07:00,03:00,POINT (4.88889621473982 52.3545636023834)
Eethuis/ Restaurant Zagros,Albert Cuypstraat 50-H,07:00,01:00,07:00,03:00,POINT (4.88895482409428 52.3545728363778)
De Japanner,Albert Cuypstraat 228-H,07:00,01:00,07:00,03:00,POINT (4.89708222680233 52.3562963913877)
Restaurant Orontès,Albert Cuypstraat 40,07:00,01:00,07:00,03:00,POINT (4.88863232170103 52.3545355298217)
EetCafé Moos B.V.,Albert Cuypstraat 166A,07:00,01:00,07:00,03:00,POINT (4.89488678288372 52.3557210741169)
Sappies en Shakies,Albert Cuypstraat 97-H,06:00,22:00,06:00,22:00,POINT (4.89138347376426 52.3552840537798)
Café/bar Nachtzuster,Albert Cuypstraat 18-H,09:00,03:00,09:00,04:00,POINT (4.88814867005928 52.3544705811639)
Calle Ocho BV,Albert Cuypstraat 226-H,07:00,01:00,07:00,00:30,POINT (4.89700913365039 52.3562691263327)
Pho 91,Albert Cuypstraat 91-H,07:00,01:00,07:00,03:00,POINT (4.89117838623234 52.3552472452808)
Cafe F,Agatha Dekenstraat 39-H,07:00,01:00,07:00,03:00,POINT (4.86703308464407 52.3689756597831)
"Ramen Izakaya Bar ""Sora"";""Albert Cuypstraat 210-H",Restaurant,07:00,01:00,07:00,03:00,POINT (4.89626273470319 52.3560683099927)
Nieuw Albina,Albert Cuypstraat 47-H,07:00,01:00,07:00,03:00,POINT (4.88883478329058 52.3548060094203)
Eethuisje Wan Pipel,Albert Cuypstraat 140A,07:00,01:00,07:00,03:00,POINT (4.89381778931093 52.3554919391398)
Eethuis Manti,Albert Cuypstraat 278,07:00,01:00,07:00,03:00,POINT (4.89924738408262 52.3569614190344)
Le Hollandais,Amsteldijk 41-H,07:00,01:00,07:00,03:00,POINT (4.90550662953661 52.3550546895105)
Amstel Boathouse,Amsteldijk 223,07:00,01:00,07:00,03:00,POINT (4.90649346545127 52.3384585758218)
Midgetgolf Amstelpark,Amstelpark 2B,09:00,19:00,09:00,19:00,POINT (4.89324267455727 52.3319599361224)
Taste Amsterdam B.V.,Amsteldijk 55-H,07:00,01:00,07:00,03:00,POINT (4.9062639476364 52.3542488814273)
Impero Romano B.V.,Amsteldijk 25,07:00,01:00,07:00,03:00,POINT (4.9044157248975 52.3568387818356)
