ZAAKNAAM,ADRES,OPENINGSTIJDEN_ZO_DO_VAN,OPENINGSTIJDEN_ZO_DO_TOT,OPENINGSTIJDEN_VR_ZA_VAN,OPENINGSTIJDEN_VR_ZA_TOT,LOCATIE_WKT
Resin,Hekelveld 7A,07:00,01:00,07:00,01:00,POINT (4.89536197199336 52.3777695628428)
Eetcafé Het Stuivertje,Hazenstraat 58-H,07:00,01:00,07:00,03:00,POINT (4.88023604907562 52.3700035109916)
Abram B.V.,Heisteeg 3,07:00,03:00,07:00,04:00,POINT (4.88844318246437 52.3687710744636)
IJSBAKKERIJ,Heisteeg 5-H,07:00,03:00,07:00,04:00,POINT (4.88838455451083 52.3687618402264)
De Tweede Kamer,Heisteeg 6-H,07:00,01:00,07:00,01:00,POINT (4.88839842936602 52.3688337991814)
Counter De Driehoek,Hembrugstraat 1,07:00,01:00,07:00,03:00,POINT (4.87732562794921 52.3920195155711)
Pippers,Harry Banninkstraat 1,07:00,01:00,07:00,03:00,POINT (4.90685008735003 52.3760640903105)
Luigi Pizza Service,Haarlemmermeerstraat 72,07:00,01:00,07:00,03:00,POINT (4.85010194759933 52.3557512924363)
Gustavino,Gustav Mahlerplein 16,07:00,01:00,07:00,03:00,POINT (4.87302034849797 52.337554105144)
Barbera Amsterdam BV,Gustav Mahlerplein 20,07:00,01:00,07:00,03:00,POINT (4.87303533217964 52.3375272072001)
Stichting Collectief Groenhoven,Groenhoven 650,07:00,01:00,07:00,03:00,POINT (4.97643453819305 52.3262379063885)
"""Het Orgelpark"";""Gerard Brandtstraat 26",Additionele horeca,07:00,01:00,07:00,03:00,POINT (4.86829796298831 52.3599936084239)
Le Baravin- VOF La Brigade Food&Beverage,Gerard Doustraat 82-H,07:00,01:00,07:00,03:00,POINT (4.89177616650848 52.355609249464)
Andalucia,Halvemaansteeg 1,07:00,01:00,07:00,01:00,POINT (4.89589435971722 52.3668159349744)
Grillroom Baba,Halvemaansteeg 3,07:00,03:00,07:00,04:00,POINT (4.89590943888868 52.3667800471779)
Coffeeshop Balou,Halvemaansteeg 5,07:00,01:00,07:00,01:00,POINT (4.89590993586821 52.3667351113754)
24K Bar,Halvemaansteeg 8A,07:00,01:00,07:00,03:00,POINT (4.89574913470543 52.3666715318576)
Thrill Grill B.V.,Gerard Doustraat 98-H,07:00,01:00,07:00,03:00,POINT (4.89247910390471 52.3557559871417)
Snackbar Holendrecht,Holendrechtplein 32,07:00,01:00,07:00,03:00,POINT (4.96402117474885 52.298862737285)
Firenze Italiaans Restaurant,Halvemaansteeg 9-1,07:00,01:00,07:00,03:00,POINT (4.89592561135447 52.3666453006119)
De Nieuwe Afspraak,H.J.E. Wenckebachweg 180,09:00,04:00,09:00,05:00,POINT (4.93535265491402 52.3358039561023)
De Keet,H.J.E. Wenckebachweg 3002,07:00,01:00,07:00,03:00,POINT (4.92634720183737 52.3383307428229)
La Festa,Hazenstraat 64-H,07:00,01:00,07:00,03:00,POINT (4.88031069283613 52.3698959792637)
Illy Cafe,Hasselaerssteeg 4,07:00,01:00,07:00,03:00,POINT (4.89746562382908 52.3774457312294)
Service Punt Kraaipan (Stichting Dynamo),Hofmeyrstraat 67,07:00,01:00,00:00,03:00,POINT (4.91747972296411 52.3513099818108)
Eetcafé De Kinker BV,Hasebroekstraat 4-H,07:00,01:00,07:00,03:00,POINT (4.86672477194452 52.3664667696965)
The Coffeebrand,Hoofddorpplein 16-H,07:00,01:00,07:00,03:00,POINT (4.85015027845867 52.3517520158838)
The Happy Bull,Hoofddorpweg 9-H,07:00,01:00,07:00,03:00,POINT (4.85149613373753 52.3509042809865)
Ruthless,Hoofdweg 174-H,07:00,01:00,07:00,01:00,POINT (4.8534345493777 52.3654819551291)
Café Dapper,Jacob van Lennepkade 60-H,07:00,01:00,07:00,03:00,POINT (4.87342709123777 52.3658399113679)
IJverig B.V.,IJburglaan 963,07:00,01:00,07:00,03:00,POINT (4.99434593582908 52.356029580622)
Restaurant Johannes Exploitatie B.V.,Herengracht 413-H,07:00,01:00,07:00,03:00,POINT (4.88735506200435 52.3676070946378)
Lale Restaurant,Hoofdweg 405,07:00,01:00,07:00,03:00,POINT (4.8484998934877 52.3728744015835)
Bloem Op IJburg,IJburglaan 1289,07:00,01:00,07:00,03:00,POINT (4.99719231770211 52.354502112392)
Pizzeria IJburg en Spareribs,IJburglaan 1291A,07:00,01:00,07:00,03:00,POINT (4.99736915965099 52.3544218063652)
"Sportvereniging ""Pirates"";""Herman Bonpad 5",Additionele horeca,09:00,01:00,09:00,03:00,POINT (4.7984797817701 52.3666238741758)
The Hoxton (Amsterdam) BV,Herengracht 255,07:00,01:00,07:00,03:00,POINT (4.88739592960783 52.3718044624013)
Eetcafe Zusjes,Hoofddorpplein 29-H,07:00,01:00,07:00,03:00,POINT (4.8492480570751 52.3511098023039)
Stichting Het Grachtenhuis,Herengracht 386,10:00,17:00,10:00,17:00,POINT (4.88628014663857 52.3678811724586)
T Keldertje,Hoogte Kadijk 8-O,07:00,03:00,07:00,04:00,POINT (4.91268444601028 52.3701647903322)
Stichting Tassenmuseum Hendrikje,Herengracht 573,00:00,00:00,00:00,00:00,POINT (4.89685203669873 52.365184161684)
EetCafé Tante Til,IJburglaan 1501,07:00,01:00,07:00,03:00,POINT (5.00276622623571 52.3515454481047)
Warung Redjo Kim & Jane,Hoofdweg 137-H,07:00,01:00,07:00,03:00,POINT (4.85274812971546 52.3639599576744)
Orontes West,Hugo de Grootplein 8-H,07:00,01:00,07:00,03:00,POINT (4.87327938893922 52.3747998860744)
Restaurant Dana,Damrak 51,07:00,03:00,07:00,04:00,POINT (4.89560921129046 52.3753349621745)
Tivoli - Pastabar B.V.,Damrak 19,07:00,01:00,07:00,03:00,POINT (4.89722599234466 52.3765369988745)
Kervan,Dapperplein 25,07:00,01:00,07:00,03:00,POINT (4.92831713363673 52.3621285452686)
Memphis Hotel Exploitatie B.V.,De Lairessestraat 89,07:00,01:00,07:00,03:00,POINT (4.87173583801983 52.353429677113)
We I Netherlands B.V./Holiday Inn A'Dam,De Boelelaan 2,07:00,01:00,07:00,03:00,POINT (4.88839429462457 52.3352021420178)
Five Brothers fat Champagneia,De Clercqstraat 56-H,07:00,01:00,07:00,03:00,POINT (4.86969721641093 52.3709376236897)
Snackbar Double Dutch,De Clercqstraat 87-H,07:00,01:00,07:00,03:00,POINT (4.86763565322966 52.3701826381066)
Burito Mexicaans Restaurant,De Clercqstraat 14-H,14:00,01:00,14:00,03:00,POINT (4.87328527400005 52.3717531250945)
Stichting Trefcentrum JAN,H. Cleyndertweg 63B,07:00,01:00,07:00,03:00,POINT (4.93591319692914 52.401981385092)
In 't Cleyn,H. Cleyndertweg 63C,07:00,01:00,07:00,02:00,POINT (4.93588362755262 52.4019992475128)
Visgilde IJburg,IJburglaan 655,07:00,01:00,07:00,03:00,POINT (4.99037526889644 52.3585059005247)
Kitchen & Lounge Steigereiland,IJburglaan 433,07:00,01:00,07:00,03:00,POINT (4.98319349994147 52.3621215889072)
Yogya,Johan Huizingalaan 142,07:00,01:00,07:00,03:00,POINT (4.82672869897789 52.3596246057191)
Majesteit Taart,Javastraat 5-H,07:00,20:00,07:00,20:00,POINT (4.93181084517079 52.3635890167537)
Café-Bar Anadolu,Jan van Galenstraat 303,07:00,01:00,07:00,03:00,POINT (4.84771233331899 52.3724304289548)
Café Vira,Jan van Galenstraat 198,07:00,01:00,07:00,03:00,POINT (4.84762172219961 52.3726367311707)
Roei en Zeilvereniging Poseidon,Jan Vroegopsingel 4,07:00,01:00,07:00,03:00,POINT (4.90859027703697 52.3372267706177)
Amstelglorie,Jan Vroegopsingel 7,07:00,01:00,07:00,03:00,POINT (4.90845128006068 52.3337839440831)
R.V. Willem III,Jan Vroegopsingel 8,07:00,01:00,07:00,03:00,POINT (4.9085755428231 52.33586957827)
Tasca Bellota,Herenstraat 22-H,07:00,01:00,07:00,03:00,POINT (4.88883250720396 52.3772569702826)
Bleekemolen Indoor Kart & Speed Centre,Herwijk 10,07:00,01:00,07:00,03:00,POINT (4.78885598469991 52.3965673424729)
't Houtskooltje,Johan van Hasseltweg 118,07:00,01:00,07:00,03:00,POINT (4.92495703061566 52.3873524943448)
Costa Noord B.V.,Johan van Hasseltweg 68,07:00,01:00,07:00,03:00,POINT (4.92672681975814 52.3866673419734)
Prego,Herenstraat 25-H,07:00,01:00,07:00,03:00,POINT (4.88861303908048 52.3771841471931)
De Marktkantine,Jan van Galenstraat 6,09:00,04:00,09:00,05:00,POINT (4.86718383126574 52.3761663820016)
Ponte Arcari,Herengracht 534,07:00,01:00,07:00,03:00,POINT (4.89618336395082 52.3645792262596)
Snackbar Lale,Jan van Galenstraat 188,07:00,01:00,07:00,03:00,POINT (4.84836883224538 52.3727839301751)
Thai Tiger,Javaplein 7A,07:00,01:00,07:00,03:00,POINT (4.93991154734284 52.3639164513154)
Iraq Restaurant,Javastraat 28-H,07:00,01:00,07:00,03:00,POINT (4.93288372274235 52.3634762954847)
Wanica Exotics,Jan van Galenstraat 88-H,07:00,01:00,07:00,03:00,POINT (4.86083753690748 52.3751137960197)
Broodje Daan,Jan van Galenstraat 219,06:00,01:00,06:00,03:00,POINT (4.85344186360831 52.3734270193822)
Biladi Samir,Jan van Galenstraat 90-H,07:00,01:00,07:00,03:00,POINT (4.86072027587664 52.3750953002614)
Eetcafé Baraka,Jan Evertsenstraat 67-H,07:00,01:00,07:00,03:00,POINT (4.85489946284981 52.3706564083266)
Roza,Jan Evertsenstraat 68,07:00,03:00,07:00,03:00,POINT (4.85515923178187 52.3710350529874)
Albaraka Snacks,J. Drijverweg 6,07:00,01:00,07:00,03:00,POINT (4.94432825390076 52.4009615724997)
Nomad Restaurant,IJdok 87,07:00,01:00,07:00,03:00,POINT (4.89492061735625 52.3844634481689)
Restaurant Birbey,Jan Rebelstraat 21A,07:00,01:00,07:00,03:00,POINT (4.78322519199752 52.3611994947495)
Café Zandvoort,Jan Evertsenstraat 74-H,07:00,01:00,07:00,03:00,POINT (4.85489547800506 52.3709889311883)
Chinees-Indisch Restaurant Golden Pauw,Jan Evertsenstraat 11-H,07:00,01:00,07:00,03:00,POINT (4.85837286314737 52.3712112068464)
Bar Baarsch,Jan Evertsenstraat 91-H,07:00,01:00,07:00,03:00,POINT (4.85352208921558 52.3704165391276)
The Movies Restaurants B.V.,Haarlemmerdijk 161,07:00,01:00,07:00,03:00,POINT (4.88461525171636 52.383961854411)
Stichting de Roode Bioscoop,Haarlemmerplein 7-H,07:00,01:00,07:00,01:00,POINT (4.88398237668027 52.3840760084302)
Sunny Yummy Amsterdam 01,Haarlemmerdijk 108A,07:00,01:00,07:00,03:00,POINT (4.88650444029843 52.3831519802608)
Barney's Coffeeshop,Haarlemmerstraat 102-H,07:00,01:00,07:00,01:00,POINT (4.89089419762676 52.3806898734299)
Teun,Haarlemmerdijk 61,07:00,01:00,07:00,03:00,POINT (4.88751195346195 52.3823743141436)
The Coffee Company B.V.,Haarlemmerdijk 62,07:00,03:00,07:00,04:00,POINT (4.88767219289541 52.3824918273107)
De Pizzabakkers B.V.,Haarlemmerdijk 128-H,07:00,01:00,07:00,03:00,POINT (4.88594278452443 52.3834641712754)
Pho Viet,Haarlemmerdijk 6-H,07:00,03:00,07:00,04:00,POINT (4.88900247105348 52.3817424704002)
Subway,Haarlemmerdijk 8-H,07:00,03:00,07:00,04:00,POINT (4.88898748202999 52.381769370048)
Barney 's Uptown B.V.,Haarlemmerstraat 105-H,07:00,01:00,07:00,03:00,POINT (4.89054193082296 52.3806704233748)
Omelegg Holding BV,Ferdinand Bolstraat 143-H,07:00,01:00,07:00,03:00,POINT (4.89155556989407 52.3516987189085)
Dov Melo B.V.,Ferdinand Bolstraat 46-H,07:00,01:00,07:00,03:00,POINT (4.89036337230856 52.3559358770503)
DSN1 B.V.,Ferdinand Bolstraat 36-H,07:00,01:00,07:00,03:00,POINT (4.89043234149945 52.3563316205393)
De Culinaire Werkplaats,Fannius Scholtenstraat 10A,07:00,01:00,07:00,03:00,POINT (4.87319059483386 52.3850093640384)
Hotel Okura,Ferdinand Bolstraat 333,07:00,01:00,07:00,01:00,POINT (4.89363035067743 52.3485796883722)
Café Blond B.V.,Ferdinand Bolstraat 44-H,07:00,01:00,07:00,03:00,POINT (4.89037734691799 52.3559988488315)
Jack's Blend,Ferdinand Bolstraat 48-H,07:00,00:00,07:00,01:00,POINT (4.89034929725065 52.355881892446)
Kebab House,Ferdinand Bolstraat 23-H,07:00,01:00,07:00,03:00,POINT (4.89068538421907 52.3560181148005)
Knabbel en Babbel,Europaplein 59,07:00,01:00,07:00,03:00,POINT (4.89243268027608 52.3427866651646)
Creative Asian Restaurant Reborn,Europaplein 21,07:00,00:00,07:00,01:00,POINT (4.89177902681547 52.3435029446054)
TLV Group BV Bar Dak,Ferdinand Bolstraat 12-H,07:00,01:00,07:00,03:00,POINT (4.89056947995224 52.3571950046961)
Kwekkeboom Patisserie B.V.,Ferdinand Bolstraat 119,07:00,01:00,07:00,03:00,POINT (4.89144451265148 52.3524442259661)
PastaPasta,Ferdinand Bolstraat 67-H,07:00,00:00,07:00,01:00,POINT (4.89058282531416 52.3546875200513)
Snacks & Vlaamse Friet Moes,Ferdinand Bolstraat 62-H,07:00,01:00,07:00,03:00,POINT (4.89014853053414 52.3554586334256)
Café de Pijp,Ferdinand Bolstraat 17-1,07:00,01:00,07:00,03:00,POINT (4.89074068235932 52.3563239248297)
Shabu Shabu Amsterdam B.V.,Ferdinand Bolstraat 18-H,07:00,01:00,07:00,03:00,POINT (4.89052745386005 52.3570150766452)
"Restaurant ""Toet-Anchamon 1"";""Europaplein 67",Restaurant,13:00,01:00,13:00,01:00,POINT (4.89258111676252 52.3426344951095)
Sari Citra,Ferdinand Bolstraat 52-H,07:00,01:00,07:00,03:00,POINT (4.89035030212608 52.3557920206488)
Café Kingfisher,Ferdinand Bolstraat 24-H,07:00,01:00,07:00,03:00,POINT (4.89048713597104 52.35668236655)
Nanbu,Europaplein 11,07:00,01:00,07:00,03:00,POINT (4.89158636246967 52.3436729039332)
Restaurant Colosseo Pizzeria Roma,Europaplein 13,07:00,01:00,07:00,03:00,POINT (4.89161621133317 52.343628090623)
Hennequin & To BV,Ferdinand Bolstraat 26-H,07:00,00:00,07:00,01:00,POINT (4.89047306052969 52.3566283819703)
Lunchroom Hannibal,Ferdinand Bolstraat 92-H,07:00,01:00,07:00,03:00,POINT (4.89030686570849 52.3544257229587)
SALSA SHOP Ferdinand Bolstraat BV,Ferdinand Bolstraat 1,07:00,01:00,07:00,03:00,POINT (4.89097495511204 52.3576910207306)
Japans en Aziatisch Delicatessenhuis Zen,Frans Halsstraat 38-H,07:00,01:00,07:00,03:00,POINT (4.88864822314102 52.3570431376849)
Febo,Ferdinand Bolstraat 89B,07:00,01:00,07:00,03:00,POINT (4.89091486559383 52.3538710388365)
Patates and More BV,Ferdinand Bolstraat 64-H,07:00,01:00,07:00,03:00,POINT (4.89008991976322 52.3554494000212)
Eatopia,Haarlemmerweg 507,07:00,01:00,07:00,03:00,POINT (4.85517460038745 52.3844625538709)
Lot's Toko,Haarlemmerweg 511,07:00,01:00,07:00,03:00,POINT (4.85507178900218 52.3844620925825)
Dal Migliore,Gravenstraat 5,07:00,03:00,07:00,04:00,POINT (4.89272859313732 52.3742265017523)
IJscuypje Westergasfabriek,Gosschalklaan 7,07:00,01:00,07:00,03:00,POINT (4.87246944273935 52.3863993050751)
Coffeeshop D & L,Govert Flinckstraat 323-H,07:00,01:00,07:00,01:00,POINT (4.90129960030816 52.3572215023368)
Pendergast Smokehouse,Groen van Prinstererstraat 14-H,07:00,01:00,07:00,03:00,POINT (4.8714163241963 52.3847500089938)
Bar Bistro De Pilserij BV,Gravenstraat 10A,07:00,01:00,07:00,03:00,POINT (4.89262480411876 52.3743159444166)
EetCafé 't Tuinfeest,Geldersekade 109-H,07:00,01:00,07:00,03:00,POINT (4.90128640704802 52.3731923652705)
Thai en Co,Haarlemmerstraat 54-H,07:00,01:00,07:00,03:00,POINT (4.89254475459661 52.380184480591)
Ellis Gourmet Burger,Gravenstraat 20-H,07:00,01:00,07:00,03:00,POINT (4.89218448273786 52.3742961317133)
Fromagerie Crignon,Gravenstraat 26-H,07:00,01:00,07:00,03:00,POINT (4.8918322660166 52.3742766855193)
Sie-Joe,Gravenstraat 52,07:00,03:00,07:00,04:00,POINT (4.89196432219667 52.3742862247492)
Café de Pianist,Groen van Prinstererstraat 41A,07:00,01:00,07:00,03:00,POINT (4.87231278842365 52.3834417230001)
Bij Wink v.o.f.,Govert Flinckstraat 326-H,17:00,00:00,17:00,00:00,POINT (4.89944293785951 52.3565308194318)
St. Paul's,Gravenstraat 64,07:00,01:00,07:00,03:00,POINT (4.89187621791474 52.3742858567046)
Pannenkoekenhuis Upstairs,Grimburgwal 2-1,07:00,03:00,07:00,04:00,POINT (4.89341496262064 52.3692862030766)
Het Gasthuis,Grimburgwal 7-H,07:00,01:00,07:00,03:00,POINT (4.89359005280904 52.369385795463)
Coffeeshop Media BV,Gerard Doustraat 85,07:00,01:00,07:00,01:00,POINT (4.89190596346459 52.3558165067297)
Spaans Restaurant Vamos A Ver,Govert Flinckstraat 308-H,07:00,01:00,07:00,03:00,POINT (4.89877001292457 52.3563213336637)
Belgique,Gravenstraat 2,07:00,01:00,07:00,03:00,POINT (4.89309479398995 52.3743089164617)
Arles,Govert Flinckstraat 251-H,07:00,00:00,07:00,01:00,POINT (4.89810979398806 52.3562916483913)
Eddy Bar,Gerard Doustraat 58-H,07:00,01:00,07:00,03:00,POINT (4.89080953478922 52.3554164655381)
Os Lusitanos,Govert Flinckstraat 177-H,07:00,01:00,07:00,03:00,POINT (4.89468497758159 52.3553876945611)
Warung Spang Makandra,Gerard Doustraat 39-H,07:00,00:00,07:00,01:00,POINT (4.88984100029025 52.3553944301645)
De Wijs Roei,Hobbemakade 123,07:00,01:00,07:00,03:00,POINT (4.88612009953046 52.3495278233946)
Restaurant De Molen,Geldersekade 120,07:00,03:00,07:00,04:00,POINT (4.90046224839238 52.3733597481188)
Cobra Café,Hobbemastraat 18,07:00,01:00,07:00,03:00,POINT (4.88439930178013 52.3589305612942)
Brasserie Zuiderbad,Hobbemastraat 28,09:00,19:00,09:00,19:00,POINT (4.88603170803925 52.3586678464905)
Saray,Gerard Doustraat 33-H,07:00,00:00,07:00,01:00,POINT (4.88965059132865 52.3553576806158)
CBC No Limit,Geldershoofd 80,07:00,01:00,07:00,03:00,POINT (4.97189845646801 52.3234628876416)
Coffeeshop Roxy,Gerard Doustraat 188-H,07:00,01:00,07:00,01:00,POINT (4.89558386598884 52.356398037277)
Compass Group Nederland BV,George Gershwinlaan 22,07:00,00:00,07:00,03:00,POINT (4.87485664745307 52.3360880837356)
Los Pilones,Geldersekade 111-H,09:00,03:00,09:00,04:00,POINT (4.9012723133286 52.3731383821799)
Crowne Plaza Amsterdam South,George Gershwinlaan 101,07:00,01:00,07:00,03:00,POINT (4.87459515234785 52.3358622613967)
Brut de Mer B.V.,Gerard Douplein 8-H,09:00,01:00,09:00,03:00,POINT (4.89255239351247 52.3557652806221)
The Hen House Amsterdam Geleenstraat B.V,Geleenstraat 1-H,09:00,01:00,09:00,03:00,POINT (4.89501190631676 52.344424166133)
Bar Mash B.V.,Gerard Douplein 9-H,12:00,01:00,12:00,03:00,POINT (4.89285633093499 52.3561530154133)
Fourty Two,Haarlemmerstraat 42-H,07:00,03:00,07:00,04:00,POINT (4.8929724490459 52.3800244882672)
Restaurant de Groene Lanteerne,Haarlemmerstraat 43,07:00,01:00,07:00,03:00,POINT (4.89329993817726 52.3796304009179)
Dampkring,Haarlemmerstraat 44,07:00,01:00,07:00,01:00,POINT (4.89292799106175 52.3800602531252)
Penultimate III B.V.,Haarlemmerstraat 64-H,07:00,01:00,07:00,01:00,POINT (4.89214693015118 52.3802996583737)
Café Keyser,Haarlemmerplein 3-H,05:00,01:00,05:00,03:00,POINT (4.88409906014122 52.3841484038428)
T Centrum,Haarlemmerplein 4-H,07:00,03:00,07:00,04:00,POINT (4.88449246260346 52.3844286859334)
Burgerland,Haarlemmerstraat 50-H,07:00,01:00,07:00,03:00,POINT (4.89266254284788 52.380158009283)
Mossel en Gin,Gosschalklaan 12,07:00,01:00,07:00,03:00,POINT (4.86806241023266 52.3864340199941)
Volksbond,Haarlemmerstraat 146-H,07:00,03:00,07:00,04:00,POINT (4.88975611434095 52.3813322075002)
Grill Steakhouse Oma,Korte Leidsedwarsstraat 141-H,07:00,03:00,07:00,04:00,POINT (4.88520448198251 52.3630233283847)
De Kom-Eet,Kometensingel 186,07:00,01:00,07:00,03:00,POINT (4.88713092280423 52.4148984806712)
Bolle Jan,Korte Reguliersdwarsstraat 3-H,09:00,03:00,09:00,04:00,POINT (4.8952279647884 52.3660042896845)
Favela (voorheen Vol Gas),Korte Leidsedwarsstraat 32,09:00,04:00,09:00,05:00,POINT (4.88386012236132 52.3637635975187)
Huis van de Wijk De Evenaar,Kometensingel 189,07:00,01:00,07:00,03:00,POINT (4.88646072335316 52.4143743808978)
Café Sientje,Korte Reguliersdwarsstraat 6,09:00,03:00,09:00,04:00,POINT (4.89518262680606 52.366120939989)
Amsterdamned,Korte Leidsedwarsstraat 77,09:00,04:00,09:00,05:00,POINT (4.88379865058568 52.3640060013214)
Get Down To It,Korte Leidsedwarsstraat 77,07:00,01:00,07:00,01:00,POINT (4.88379865058568 52.3640060013214)
L & B (Café),Korte Leidsedwarsstraat 82-H,09:00,03:00,09:00,04:00,POINT (4.88522159938021 52.3628076987678)
Bistro Baret,Korte Amstelstraat 18,07:00,01:00,07:00,03:00,POINT (4.90483245266749 52.3617207369497)
Suzy Wong,Korte Leidsedwarsstraat 45-H,07:00,01:00,07:00,03:00,POINT (4.88242252741904 52.3649528336999)
Yu Family Kitchen,Kolksteeg 1A,07:00,03:00,07:00,04:00,POINT (4.89538018680961 52.3761249169308)
Simit Sarayi  Kinkerstraat,Kinkerstraat 224,07:00,22:00,07:00,22:00,POINT (4.86610201001088 52.3657360390417)
Na Siam,Kerkstraat 332,07:00,01:00,07:00,03:00,POINT (4.89822989690734 52.3627182692491)
Hans Brinker B.V.,Kerkstraat 136,09:00,03:00,09:00,04:00,POINT (4.88805997540505 52.3636735047908)
Food Fantasies,Kerkstraat 176-H,07:00,01:00,07:00,03:00,POINT (4.88981269472707 52.3631685796015)
Bierproeflokaal In de Wildeman,Kolksteeg 3B,07:00,01:00,07:00,03:00,POINT (4.89513044800431 52.3761328682786)
Burger House Amsterdam V.O.F.,Korte Kolksteeg 5-H,07:00,03:00,07:00,04:00,POINT (4.89353811090179 52.3767014523629)
The Dylan Amsterdam,Keizersgracht 384,07:00,01:00,07:00,03:00,POINT (4.88398856713239 52.3692735293738)
Chapter One,Kinkerstraat 321-H,07:00,01:00,07:00,03:00,POINT (4.86229849782427 52.3645688472079)
café Alto,Korte Leidsedwarsstraat 115,09:00,03:00,09:00,04:00,POINT (4.88452369645565 52.3635057732003)
Café Bloemenbeppie,Korte Reguliersdwarsstraat 10-H,09:00,03:00,09:00,04:00,POINT (4.89506577334543 52.3660665294936)
Knalle Bij Rich,Korte Reguliersdwarsstraat 12-H,09:00,03:00,09:00,04:00,POINT (4.89497778490024 52.3660571766103)
Foe-Yong-Hai B.V.,Kerkstraat 23A,07:00,01:00,07:00,03:00,POINT (4.88479016948793 52.3659065877204)
Casa Italiana,Korte Leidsedwarsstraat 109-H,07:00,01:00,07:00,03:00,POINT (4.88442011947324 52.363577234637)
Maya Steakhouse,Korte Leidsedwarsstraat 111-H,07:00,01:00,07:00,03:00,POINT (4.88444998898094 52.3635324233858)
Tong Ah,Korte Leidsedwarsstraat 119,07:00,01:00,07:00,03:00,POINT (4.88484930905061 52.3632734762368)
De Spuyt,Korte Leidsedwarsstraat 86-H,09:00,03:00,09:00,04:00,POINT (4.88550285824616 52.3626021749301)
Cafe Piazza,Kloveniersburgwal 5-H,07:00,01:00,07:00,03:00,POINT (4.90003740997251 52.3719289817476)
De Biecht,Kerkstraat 346-H,09:00,03:00,09:00,04:00,POINT (4.89927012113059 52.3629112947456)
Bar 129,Korte Leidsedwarsstraat 129,09:00,03:00,09:00,04:00,POINT (4.88495308783525 52.3631840401047)
De Bekeerde Suster,Kloveniersburgwal 8-H,07:00,01:00,07:00,03:00,POINT (4.89921386254218 52.3720424330894)
Coffeeshop Solo,Korte Koningsstraat 2,07:00,01:00,07:00,01:00,POINT (4.90266660075235 52.3718588682812)
De Struisvogel,Keizersgracht 312-H,07:00,01:00,07:00,03:00,POINT (4.88429845358615 52.3704342410974)
Portugalia,Kerkstraat 35-H,07:00,01:00,07:00,03:00,POINT (4.88515984188976 52.3656744767199)
Song Kwae Thai Food,Kloveniersburgwal 14A,07:00,01:00,07:00,03:00,POINT (4.8991420260731 52.3718983364499)
The Dolphins,Kerkstraat 39,07:00,01:00,07:00,01:00,POINT (4.88526332103816 52.3656120018323)
De Rode Hoed,Keizersgracht 102,07:00,01:00,07:00,01:00,POINT (4.88727478214557 52.3773492757159)
CAFÉ ELITE,Jan van Galenstraat 45,07:00,01:00,07:00,03:00,POINT (4.86365734003354 52.3750903300552)
Razmataz,Hugo de Grootplein 9-H,07:00,01:00,07:00,03:00,POINT (4.87297674417884 52.3743042576572)
Coffeeshop 156,Hudsonstraat 156,07:00,01:00,07:00,01:00,POINT (4.85247413102942 52.3696478721286)
Chinees Afhaalcentrum Ah-Sin,Hoofdweg 294-H,09:00,01:00,09:00,03:00,POINT (4.85199968055897 52.3688098851575)
2Grill-Bar Cavus,Hoofdweg 296-H,07:00,01:00,07:00,03:00,POINT (4.85196955824371 52.3688726623364)
Chill Out Café / Bar 27,Hoofdweg 298-H,07:00,01:00,07:00,03:00,POINT (4.85193954413354 52.3689264524012)
Sinbad,Hoofdweg 226-H,07:00,01:00,07:00,01:00,POINT (4.85288798022689 52.3669804222064)
Lunch- en Dinnerroom Soukara,Hudsonstraat 140,07:00,01:00,07:00,03:00,POINT (4.85280536167629 52.3689663085107)
Best Friends Centrum B.V.,Huidenstraat 13-H,07:00,01:00,07:00,01:00,POINT (4.88575654004603 52.3687417660702)
Frans Otten Stadion,IJsbaanpad 43,07:00,01:00,07:00,03:00,POINT (4.85059647220315 52.3391084142704)
MOOYecatering,IJsbaanpad 45A,07:00,01:00,07:00,03:00,POINT (4.85088865571627 52.3404309232779)
SC Buitenveldert,Gustav Mahlerlaan 2009,07:00,01:00,07:00,03:00,POINT (4.86400383557315 52.3356991305591)
St. Collectieve Ruimten Grubbehoeve,Grubbehoeve 38,07:00,01:00,07:00,03:00,POINT (4.97731453937608 52.3214775123526)
Quattro Gatti,Hartenstraat 3-H,07:00,01:00,07:00,03:00,POINT (4.88656890835402 52.3722233886598)
 TV Osdorp,Han Hollanderlaan 1,07:00,01:00,07:00,03:00,POINT (4.79563723598066 52.3694947561369)
Zsgo/Wms,Han Hollanderlaan 3,09:00,01:00,09:00,03:00,POINT (4.79562945709237 52.3700789132663)
De Dampkring,Handboogstraat 29-H,07:00,01:00,07:00,01:00,POINT (4.89051025029637 52.3677461819165)
Cannibale Royale,Handboogstraat 17B,09:00,03:00,09:00,04:00,POINT (4.89034603543577 52.3679881582669)
VOF Iso Horeca,Haringpakkerssteeg 8-1,07:00,01:00,07:00,03:00,POINT (4.89722153017545 52.3769414201133)
Neuf Amsterdam B.V.,Haarlemmerstraat 9-H,07:00,01:00,07:00,03:00,POINT (4.89375819452042 52.3793626825311)
Rangoli South Indian Restaurant,Haarlemmerstraat 11,07:00,01:00,07:00,03:00,POINT (4.89371373783137 52.3793984476913)
Brasserie de Groot,Hugo de Grootplein 1,07:00,01:00,07:00,03:00,POINT (4.87322543645957 52.3743862240933)
