ZAAKNUMMER,ZAAKNAAM,ADRES,ZAAK_CATEGORIE,ZAAK_SPECIFICATIE,BEGINDATUM,EINDDATUM,OPENINGSTIJDEN_ZO_DO_VAN,OPENINGSTIJDEN_ZO_DO_TOT,OPENINGSTIJDEN_VR_ZA_VAN,OPENINGSTIJDEN_VR_ZA_TOT,O_TIJDEN_TERRAS_ZO_DO_VAN,O_TIJDEN_TERRAS_ZO_DO_TOT,O_TIJDEN_TERRAS_VR_ZA_VAN,O_TIJDEN_TERRAS_VR_ZA_TOT,VERLENGING_SLUITINGSTIJD_1,VERLENGING_SLUITINGSTIJD_2,VERLENGING_SLUITINGSTIJD_3,VERLENGING_SLUITINGSTIJD_4,VERLENGING_SLUITINGSTIJD_5,VERLENGING_SLUITINGSTIJD_6,VERLENGING_SLUITINGSTIJD_7,VERLENGING_SLUITINGSTIJD_8,VERLENGING_SLUITINGSTIJD_9,VERLENGING_SLUITINGSTIJD_10,ONTHEFFING_GELUIDSVOORSCHR_1,ONTHEFFING_GELUIDSVOORSCHR_2,ONTHEFFING_GELUIDSVOORSCHR_3,ONTHEFFING_GELUIDSVOORSCHR_4,ONTHEFFING_GELUIDSVOORSCHR_5,LOCATIE_WKT,TERRASGEOMETRIE_WKT,STADSDEEL,STATUS_VERGUNNING
13595,Hangar Amsterdam BV,Aambeeldstraat 36,Restaurant,Specificatie n.v.t.,2016-01-01 00:00:00.0,2019-01-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,01:00,07:00,02:00,,,,,,,,,,,,,,,,POINT (4.93092875220494 52.3837177067161),,Noord,Verleend
14798,Brasserie De Hoge Dijk B.V.,Abcouderstraatweg 46,Restaurant,Specificatie n.v.t.,2017-05-01 00:00:00.0,2020-05-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,01:00,07:00,02:00,,,,,,,,,,,,,,,,POINT (4.95976551622717 52.2871005201662),"POLYGON ((4.95974136602348 52.2863614357369, 4.95976228656987 52.2862870390349, 4.95976776518855 52.2862646474184, 4.95977316297427 52.2862504393469, 4.95978311255207 52.2862368678622, 4.9597949207873 52.2862281474684, 4.95980952028596 52.2862217829458, 4.95982702974571 52.2862191498431, 4.95985134848224 52.2862186264702, 4.95996654239358 52.286230449334, 4.95994593428104 52.2863067450132, 4.960014229904 52.2863136443452, 4.96003392319578 52.2862407351221, 4.96012208473829 52.2862506161469, 4.96010056193162 52.2863232851028, 4.96008144264987 52.2863212651854, 4.96006065439596 52.2863952669659, 4.95995857780384 52.2863843656046, 4.95974136602348 52.2863614357369))",Zuidoost,Verleend
8295,Concordia,Abe Lenstralaan 10,Additionele horeca,Kantine,2014-12-17 00:00:00.0,2019-12-17 00:00:00.0,07:00,01:00,07:00,03:00,,,,,,,,,,,,,,,,,,,,POINT (4.79381230355002 52.3731076511523),,Nieuw-West,Verleend
8731,Amsterdam Gencler Birligi (Agb),Abe Lenstralaan 6,Café,Café,2017-02-16 00:00:00.0,2020-02-16 00:00:00.0,07:00,01:00,07:00,03:00,07:00,01:00,07:00,02:00,,,,,,,,,,,,,,,,POINT (4.79865721702691 52.3720712581014),"POLYGON ((4.79915714742767 52.3719535178863, 4.79937458628071 52.3719320345316, 4.79940266635252 52.3720385041859, 4.79918522699186 52.3720599875907, 4.79915714742767 52.3719535178863))",Nieuw-West,Verleend
14922,7 black,Abraham Staalmanplein 1,Café,Eetcafé,2018-04-16 00:00:00.0,2021-04-16 00:00:00.0,07:00,01:00,07:00,03:00,07:00,01:00,07:00,02:00,21-05-2018 06:00,25-05-2018 06:00,28-05-2018 06:00,01-06-2018 06:00,04-06-2018 06:00,,,,,,,,,,,POINT (4.82783595965947 52.3497973543995),"MULTIPOLYGON (((4.82784199577186 52.3497767180385, 4.82784314568976 52.3497412248437, 4.8278959698218 52.3497418666176, 4.82789481994602 52.349777359813, 4.82784199577186 52.3497767180385)), ((4.82775762383037 52.3497756929333, 4.82775877381556 52.3497401997394, 4.82782553764612 52.3497410109139, 4.82782438771416 52.3497765041085, 4.82775762383037 52.3497756929333)))",Nieuw-West,Verleend
13740,TRIMAT BV Coffeeshop DNA,Achillesstraat 104,Coffeeshop,Specificatie n.v.t.,2018-03-10 00:00:00.0,2019-09-01 00:00:00.0,07:00,01:00,07:00,01:00,,,,,,,,,,,,,,,,,,,,POINT (4.86417253711144 52.3450560213316),,Zuid,Verleend
968,Eetcafé Kim,Achillesstraat 87,Café,Eetcafé,2015-08-07 00:00:00.0,2020-02-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,00:00,07:00,01:00,,,,,,,,,,,,,,,,POINT (4.86471897389457 52.3447618394698),"MULTIPOLYGON (((4.86468388303402 52.3447858075913, 4.86465521965613 52.3447819442877, 4.86467414365253 52.3447292800621, 4.86470280699816 52.3447331433611, 4.86468388303402 52.3447858075913)), ((4.86461222639863 52.3447761507293, 4.86458356303323 52.3447722874085, 4.86459695713633 52.3447350126889, 4.86460733115848 52.3447364694276, 4.86461096498721 52.3447271995244, 4.86462894540723 52.3447296229699, 4.86461222639863 52.3447761507293)))",Zuid,Verleend
6518,"A.S.V. ""Germaan/De Eland"";""Bok de Korverweg 8",Additionele horeca,Kantine,2017-08-21 00:00:00.0,2022-08-21 00:00:00.0,07:00,01:00,07:00,03:00,,,,,,,,,,,,,,,,,,,,POINT (4.78488933371325 52.3781406703727),,Nieuw-West,Verleend,
7629,"""Het Orgelpark"";""Gerard Brandtstraat 26",Additionele horeca,Theaterfoyer,2016-01-01 00:00:00.0,2021-01-01 00:00:00.0,07:00,01:00,07:00,03:00,,,,,,,,,,,,,,,,,,,,POINT (4.86829796298831 52.3599936084239),,West,Verleend,
5305,"Sportvereniging ""Pirates"";""Herman Bonpad 5",Additionele horeca,Kantine,2018-03-12 00:00:00.0,2021-03-12 00:00:00.0,09:00,01:00,09:00,03:00,09:00,01:00,09:00,02:00,,,,,,,,,,,,,,,,POINT (4.7984797817701 52.3666238741758),,Nieuw-West,Verleend,
