ZAAKNUMMER,ZAAKNAAM,ADRES,ZAAK_CATEGORIE,ZAAK_SPECIFICATIE,BEGINDATUM,EINDDATUM,OPENINGSTIJDEN_ZO_DO_VAN,OPENINGSTIJDEN_ZO_DO_TOT,OPENINGSTIJDEN_VR_ZA_VAN,OPENINGSTIJDEN_VR_ZA_TOT,O_TIJDEN_TERRAS_ZO_DO_VAN,O_TIJDEN_TERRAS_ZO_DO_TOT,O_TIJDEN_TERRAS_VR_ZA_VAN,O_TIJDEN_TERRAS_VR_ZA_TOT,VERLENGING_SLUITINGSTIJD_1,VERLENGING_SLUITINGSTIJD_2,VERLENGING_SLUITINGSTIJD_3,VERLENGING_SLUITINGSTIJD_4,VERLENGING_SLUITINGSTIJD_5,VERLENGING_SLUITINGSTIJD_6,VERLENGING_SLUITINGSTIJD_7,VERLENGING_SLUITINGSTIJD_8,VERLENGING_SLUITINGSTIJD_9,VERLENGING_SLUITINGSTIJD_10,ONTHEFFING_GELUIDSVOORSCHR_1,ONTHEFFING_GELUIDSVOORSCHR_2,ONTHEFFING_GELUIDSVOORSCHR_3,ONTHEFFING_GELUIDSVOORSCHR_4,ONTHEFFING_GELUIDSVOORSCHR_5,LOCATIE_WKT,TERRASGEOMETRIE_WKT,STADSDEEL,STATUS_VERGUNNING
13146,Instock,Czaar Peterstraat 21,Restaurant,Specificatie n.v.t.,2018-05-01 00:00:00.0,2023-05-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,01:00,07:00,02:00,,,,,,,,,,,,,,,,POINT (4.92651750014469 52.3686195691962),"MULTIPOLYGON (((4.92636562185006 52.3685247702298, 4.92641604395002 52.3684942456818, 4.92653012994313 52.3685648560285, 4.92647970784111 52.3685953806244, 4.92636562185006 52.3685247702298)), ((4.92637376189133 52.3686323574313, 4.9263685656864 52.3686355318398, 4.92634480080141 52.3686208456192, 4.92634999700629 52.3686176712118, 4.92637376189133 52.3686323574313)), ((4.92640059664321 52.3686553263033, 4.92638096476308 52.3686431942138, 4.926386160968 52.3686400198048, 4.92640579284817 52.3686521518935, 4.92640059664321 52.3686553263033)), ((4.9263383212207 52.3686104558065, 4.92633312501582 52.3686136302134, 4.92631039340876 52.3685995825175, 4.92631558961362 52.3685964081116, 4.9263383212207 52.3686104558065)), ((4.92631248985013 52.3685944925165, 4.92630729364527 52.3685976669222, 4.92628456205453 52.3685836192213, 4.92628975825937 52.3685804448165, 4.92628975825935 52.3685804448165, 4.92631248985013 52.3685944925165)))",Centrum,Verleend
14586,Czaar,Czaar Peterstraat 281,Restaurant,Specificatie n.v.t.,2017-08-01 00:00:00.0,2020-08-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,01:00,07:00,02:00,,,,,,,,,,,,,,,,POINT (4.93175570994657 52.371830388326),"MULTIPOLYGON (((4.93188083687749 52.3717761497129, 4.93185164358667 52.3717741967085, 4.93186352940642 52.3717076372447, 4.9318901575764 52.3717239545079, 4.93188083687749 52.3717761497129)), ((4.93184852246616 52.3717916176385, 4.93187771463855 52.3717935769597, 4.93187339309864 52.3718176982482, 4.93184597513158 52.3718158580084, 4.93184782753774 52.3718054961889, 4.93184957383644 52.3718056017594, 4.93185038417745 52.3718010392014, 4.93184687717355 52.3718008010423, 4.93184852246616 52.3717916176385)), ((4.93183730231995 52.3718544063628, 4.93183885509363 52.3718456540058, 4.93184237678432 52.3718458922215, 4.93184320263944 52.3718412488353, 4.9318414564315 52.3718411342775, 4.93184337495935 52.3718304026048, 4.93187081608053 52.3718322443986, 4.93186649453305 52.3718563656867, 4.93183730231995 52.3718544063628)), ((4.93183418118809 52.371871827292, 4.93186337454222 52.3718737803007, 4.93185148867705 52.3719403397616, 4.93182229527975 52.3719383867499, 4.93183418118809 52.371871827292)), ((4.93184278778691 52.371951261896, 4.93180439793372 52.3719741524718, 4.93178390542717 52.3719612773191, 4.93181682880832 52.3719416462038, 4.93181815651444 52.3719424781577, 4.93182359371134 52.3719392096037, 4.93184278778691 52.371951261896)), ((4.9317393202095 52.3719380074517, 4.93175991110432 52.3719508236565, 4.93175467629738 52.3719539744076, 4.9317340854026 52.3719411582018, 4.9317251862292 52.3719465144765, 4.93168400447548 52.3719208820511, 4.93169814050705 52.3719123737963, 4.9317393202095 52.3719380074517)), ((4.9316033330331 52.3718706788956, 4.93161746739927 52.3718621721258, 4.93165864789486 52.371887805276, 4.93164451352838 52.3718963120506, 4.9316033330331 52.3718706788956)))",Centrum,Verleend
13719,Brunchroom,Czaar Peterstraat 74,Alcoholvrij,Lunchroom,2016-05-01 00:00:00.0,2019-05-01 00:00:00.0,07:00,03:00,07:00,04:00,07:00,01:00,07:00,02:00,,,,,,,,,,,,,,,,POINT (4.92850658114468 52.3693732489818),"POLYGON ((4.92849812389403 52.3693997462542, 4.92847719603067 52.3694123555886, 4.9284359959552 52.369386735598, 4.92845692381814 52.3693741262707, 4.92849812389403 52.3693997462542))",Centrum,Verleend
10318,De Nieuwe Liefde,Da Costakade 102,Additionele horeca,Theaterfoyer,2017-06-01 00:00:00.0,2020-06-01 00:00:00.0,07:00,01:00,07:00,03:00,,,,,,,,,,,,,,,,,,,,POINT (4.87159008582345 52.3697864731133),,West,Verleend
11500,Coffee Plaza DCK BV,Da Costakade 51-H,Alcoholvrij,Lunchroom,2016-04-13 00:00:00.0,2019-04-13 00:00:00.0,07:00,01:00,07:00,03:00,07:00,01:00,07:00,01:00,,,,,,,,,,,,,,,,POINT (4.87254236772622 52.3712376107787),,West,Verleend
6792,Stichting Regionaal Opleidingen Centrum,Da Costastraat 60,Additionele horeca,Onbekend,2017-01-01 00:00:00.0,2020-01-01 00:00:00.0,07:00,01:00,07:00,03:00,,,,,,,,,,,,,,,,,,,,POINT (4.87417302196501 52.3686292928628),,West,Verleend
12486,Buurthuis Anansi,Daalwijkdreef 11,Additionele horeca,Buurtcentrum,2016-09-01 00:00:00.0,2019-09-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,01:00,07:00,02:00,,,,,,,,,,,,,,,,POINT (4.94976415135761 52.3205251425684),"POLYGON ((4.94960539446923 52.3204537784271, 4.94959170586034 52.3204333528548, 4.94955987332902 52.3204110988262, 4.94963705049158 52.3203695907883, 4.94968541711035 52.3204034226318, 4.94962950147599 52.3204334565353, 4.94963547393208 52.3204376219048, 4.94960539446923 52.3204537784271))",Zuidoost,Verleend
7277,Gouden Kom V.O.F.,Daguerrestraat 51,Restaurant,Specificatie n.v.t.,2015-08-01 00:00:00.0,2020-08-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,23:00,07:00,00:00,,,,,,,,,,,,,,,,POINT (4.99111322537928 52.3580589922006),,Oost,Verleend
7192,Dam Good Coffee,Dam 10,Alcoholvrij,Koffiehuis,2017-12-01 00:00:00.0,2020-12-01 00:00:00.0,07:00,03:00,07:00,04:00,07:00,01:00,07:00,02:00,,,,,,,,,,,,,,,,POINT (4.89230976649135 52.3735956252164),"POLYGON ((4.89227034534643 52.373586548252, 4.89230515673982 52.3736390068949, 4.89225073724409 52.3736525345657, 4.89221592590445 52.3736000759071, 4.89227034534643 52.373586548252))",Centrum,Verleend
1994,Yip Fellows,Dam 11,Café,Café,2016-05-01 00:00:00.0,2021-05-01 00:00:00.0,09:00,03:00,09:00,04:00,09:00,01:00,09:00,02:00,,,,,,,,,,,,,,,,POINT (4.89421535202962 52.3725789824025),"MULTIPOLYGON (((4.89421319957857 52.3726060473489, 4.89422086468818 52.3726137130156, 4.89417702919312 52.3726301332167, 4.89416936408824 52.3726224675472, 4.89421319957857 52.3726060473489)), ((4.89416778758609 52.3725933439863, 4.89414774967972 52.37260085153, 4.89413485891154 52.3725879653263, 4.89415489564116 52.3725804566121, 4.89416778758609 52.3725933439863)), ((4.89418940317367 52.372614961173, 4.89416936408824 52.3726224675472, 4.89415648671829 52.3726095892217, 4.89417652579995 52.3726020828494, 4.89417661345464 52.3726021705106, 4.89418940317367 52.372614961173)))",Centrum,Verleend
1995,Café Zwart,Dam 15,Café,Café,2016-05-01 00:00:00.0,2021-05-01 00:00:00.0,09:00,03:00,09:00,04:00,09:00,01:00,09:00,02:00,,,,,,,,,,,,,,,,POINT (4.89415731645089 52.372515828148),"MULTIPOLYGON (((4.89407037705959 52.3725142702441, 4.8940994061056 52.3725194429689, 4.89411909404401 52.3725435893855, 4.89410366943659 52.3725482973081, 4.89409806919172 52.3725500066227, 4.89409295419262 52.3725437286946, 4.89407037705959 52.3725142702441)), ((4.89409075515524 52.372502180636, 4.89423479352913 52.3724459489955, 4.89425788359538 52.3724369347549, 4.89426417572079 52.3724429725869, 4.8942657799428 52.3724445119746, 4.89410484143728 52.3725073413564, 4.89409428164051 52.3725055646124, 4.89409075515524 52.372502180636)))",Centrum,Verleend
4397,Madame Tussaud Amsterdam B.V.,Dam 20,Additionele horeca,Theaterfoyer,2017-12-01 00:00:00.0,2020-12-01 00:00:00.0,07:00,01:00,07:00,03:00,,,,,,,,,,,,,,,,,,,,POINT (4.89243804972603 52.3726255041737),,Centrum,Verleend
14875,Restaurant Bougainville,Dam 27,Restaurant,Specificatie n.v.t.,2017-11-01 00:00:00.0,2020-11-01 00:00:00.0,07:00,01:00,07:00,03:00,,,,,,,,,,,,,,,,,,,,POINT (4.89333514234558 52.3725034186131),,Centrum,Verleend
10849,Horeca IGC,Dam 27,Café,Café,2015-03-01 00:00:00.0,2020-03-01 00:00:00.0,07:00,01:00,07:00,03:00,,,,,,,,,,,,,,,,,,,,POINT (4.89333514234558 52.3725034186131),,Centrum,Verleend
4398,Euro Pub,Dam 3,Café,Café,2016-05-01 00:00:00.0,2021-05-01 00:00:00.0,09:00,03:00,09:00,04:00,09:00,01:00,09:00,02:00,,,,,,,,,,,,,,,,POINT (4.89410707985943 52.3730728479066),"MULTIPOLYGON (((4.89433221523482 52.3728861973299, 4.89438564124389 52.3729290756214, 4.89431091428128 52.3729639551544, 4.89429339761282 52.3729498967359, 4.89425748830262 52.3729210768297, 4.89427295664575 52.3729138568432, 4.89433221523482 52.3728861973299)), ((4.89435758634593 52.3728743551014, 4.8944149019761 52.3729154806884, 4.89440317286838 52.3729209132875, 4.89439558593612 52.3729148244377, 4.8943497293426 52.3728780224402, 4.89435585059839 52.3728751652799, 4.89435758634593 52.3728743551014)))",Centrum,Verleend
1979,Majestic,Dam 5A,Café,Café,2016-05-01 00:00:00.0,2021-05-01 00:00:00.0,09:00,03:00,09:00,04:00,09:00,01:00,09:00,02:00,,,,,,,,,,,,,,,,POINT (4.89421046395873 52.373019352486),"MULTIPOLYGON (((4.89386115654398 52.3731058660143, 4.89391136644692 52.3730824333832, 4.89396488530254 52.3731253919029, 4.89395699026941 52.3731290570938, 4.89391457812484 52.3731487464923, 4.89389747410622 52.3731350174363, 4.89386115654398 52.3731058660143)), ((4.89392537850344 52.3730758940404, 4.89394299082248 52.3730677979234, 4.89399641243678 52.3731106783653, 4.89399056851147 52.373113405694, 4.89397889736478 52.3731188525539, 4.89396957764747 52.373111371812, 4.89392537850344 52.3730758940404)), ((4.89403056605049 52.3730269269803, 4.89408398770043 52.3730698073833, 4.89399641243678 52.3731106783653, 4.89394299082248 52.3730677979234, 4.89403056605049 52.3730269269803)), ((4.89410734107689 52.3730589084437, 4.89408171050736 52.3730383353619, 4.89408063023429 52.3730374682504, 4.89405391941745 52.3730160280511, 4.8941117439453 52.3729890415165, 4.89413332077899 52.3729789716569, 4.89418674247079 52.3730218520139, 4.89410734107689 52.3730589084437)))",Centrum,Verleend
3975,Krasnapolsky,Dam 9,Restaurant,Specificatie n.v.t.,2018-06-01 00:00:00.0,2023-06-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,01:00,07:00,02:00,,,,,,,,,,,,,,,,POINT (4.89438995835722 52.3727235092664),,Centrum,Verleend
1998,Victoria Hotel,Damrak 1,Restaurant,Specificatie n.v.t.,2014-06-01 00:00:00.0,2019-06-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,01:00,07:00,02:00,,,,,,,,,,,,,,,,POINT (4.89804170865341 52.3771425327262),"MULTIPOLYGON (((4.89789483174992 52.3769503676778, 4.89797812595265 52.3770127054926, 4.89795078397397 52.3770263888024, 4.89793833696433 52.3770326179111, 4.89785504278286 52.3769702800675, 4.89789483174992 52.3769503676778)), ((4.89809358594142 52.3770991159646, 4.89805799366597 52.3771171011428, 4.89804953286527 52.3771108299769, 4.89804131250351 52.3771091693171, 4.89803883575469 52.3771073705773, 4.89804246796285 52.3771055970403, 4.89803671857356 52.3771009267583, 4.89799094894358 52.3770674073718, 4.89798748708994 52.3770694020349, 4.89795146857501 52.3770424456625, 4.89794763320559 52.3770395752555, 4.89798742219344 52.3770196628352, 4.89809358594142 52.3770991159646)))",Centrum,Verleend
11552,Bon Apetit,Damrak 11-H,Alcoholvrij,Lunchroom,2016-02-01 00:00:00.0,2019-02-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,01:00,07:00,02:00,,,,,,,,,,,,,,,,POINT (4.89754638243106 52.3767809862658),"MULTIPOLYGON (((4.897616309112 52.3767469340938, 4.89758339165856 52.3767648536634, 4.89757227085639 52.3767572023233, 4.89760518830862 52.3767392827567, 4.897616309112 52.3767469340938)), ((4.89759630660524 52.3767331719629, 4.89756338915397 52.3767510915271, 4.89755265303343 52.3767437048495, 4.89758557048354 52.3767257852883, 4.89759630660524 52.3767331719629)))",Centrum,Verleend
11546,Tivoli - Pastabar B.V.,Damrak 19,Restaurant,Specificatie n.v.t.,2016-01-01 00:00:00.0,2019-01-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,01:00,07:00,02:00,,,,,,,,,,,,,,,,POINT (4.89722599234466 52.3765369988745),"MULTIPOLYGON (((4.897341686269 52.3765289258578, 4.8973075300721 52.3765459548616, 4.89729102055367 52.3765335520028, 4.89732517674733 52.3765165230037, 4.897341686269 52.3765289258578)), ((4.89730662684189 52.3765025872089, 4.8972724706095 52.3765196161709, 4.89725475539419 52.3765063074634, 4.89728891162311 52.3764892785064, 4.89730662684189 52.3765025872089)))",Centrum,Verleend
12652,New York Film Academy Café,Damrak 213,Café,Eetcafé,2015-11-01 00:00:00.0,2018-11-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,01:00,07:00,02:00,,,,,,,,,,,,,,,,POINT (4.89657550249256 52.3755996036951),"POLYGON ((4.89626657670462 52.3753692502173, 4.89626608814504 52.3753696076965, 4.8962658042731 52.3753700469111, 4.8962657403693 52.3753705139992, 4.89626591161481 52.3753709640859, 4.89626630362326 52.3753713701489, 4.89626687293752 52.375371678083, 4.89626757570304 52.3753718697315, 4.89626832401204 52.3753719267553, 4.89626907391061 52.3753718399849, 4.89626975187734 52.3753716181033, 4.89633410078983 52.3754235359939, 4.8963336122302 52.3754238934733, 4.89633332835857 52.375424332688, 4.89633327913983 52.375424799837, 4.89633345038623 52.3754252499235, 4.89633384249511 52.3754256469992, 4.8963344117112 52.3754259639202, 4.89633511457721 52.3754261465811, 4.89633587757164 52.3754262036653, 4.89633662757033 52.3754261079073, 4.89633729085311 52.3754258859645, 4.89640194581334 52.375478029773, 4.89640145725365 52.3754783872526, 4.89640117338235 52.3754788264676, 4.89640110947981 52.3754792935557, 4.8964012807271 52.3754797436422, 4.89640167273775 52.3754801497048, 4.89640224205434 52.3754804576383, 4.89640294482217 52.375480649286, 4.89640369313317 52.3754807063089, 4.89640444303332 52.3754806195376, 4.89640512100103 52.3754803976553, 4.89646945264561 52.3755322994863, 4.89645192511366 52.3755404661892, 4.8962339926716 52.3753652697298, 4.89625150568656 52.3753571098198, 4.89625151512604 52.3753571054349, 4.89626657670462 52.3753692502173))",Centrum,Verleend
9048,Beurs van Berlage Exploitatie B.V.,Damrak 277,Nachtzaak,Discotheek,2014-07-01 00:00:00.0,2019-07-01 00:00:00.0,09:00,04:00,09:00,05:00,,,,,,,,,,,,,,,,,,,,POINT (4.8955276717551 52.374741445543),,Centrum,Verleend
15109,Marco Polo Pizzeria-Steakhouse B.V.,Damrak 31,Restaurant,Specificatie n.v.t.,2017-11-01 00:00:00.0,2020-11-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,01:00,07:00,02:00,,,,,,,,,,,,,,,,POINT (4.89662868096663 52.3761031265856),,Centrum,Verleend
14343,All Stars Café BV,Damrak 32,Restaurant,Specificatie n.v.t.,2017-01-01 00:00:00.0,2020-01-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,01:00,07:00,02:00,,,,,,,,,,,,,,,,POINT (4.89658502414615 52.3760669957429),"MULTIPOLYGON (((4.89663194896939 52.376061432923, 4.89667129759638 52.376041196039, 4.8966823511863 52.3760492462172, 4.89667607253049 52.3760524753141, 4.89667465780789 52.3760515395322, 4.89664300255721 52.3760694831048, 4.89663194896939 52.376061432923)), ((4.89661645527426 52.3760501487945, 4.89660700371021 52.3760432627353, 4.89664635848631 52.376023030343, 4.89665581005218 52.376029916399, 4.89661645527426 52.3760501487945)), ((4.89659850527132 52.376037075716, 4.89659189202269 52.3760322593655, 4.89663124064186 52.3760120224945, 4.89663785389176 52.3760168388429, 4.89659850527132 52.376037075716)))",Centrum,Verleend
8346,The Alley,Damrak 36,Café,Café,2014-01-01 00:00:00.0,2019-01-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,01:00,07:00,02:00,05-02-2018 05:00,,,,,,,,,,,,,,,POINT (4.89635175852467 52.3759132419115),"MULTIPOLYGON (((4.89641463867818 52.3758635027686, 4.89643110302774 52.3758747472556, 4.89639268229365 52.3758958185103, 4.89637687577065 52.3758848463685, 4.89637621794213 52.3758845740197, 4.89641463867818 52.3758635027686)), ((4.89643695292279 52.3758787424944, 4.8964715837642 52.3759023939305, 4.8964795351899 52.3759071602956, 4.89644357106295 52.3759296325309, 4.8964310488825 52.375922126289, 4.89642937306438 52.3759209509712, 4.89641618521093 52.3759116931298, 4.89639867585889 52.3758997349564, 4.89643695292279 52.3758787424944)), ((4.89648855748984 52.3759125685771, 4.89650293022506 52.375921184095, 4.89646696609852 52.3759436563373, 4.8964525933617 52.3759350408156, 4.89648855748984 52.3759125685771)))",Centrum,Verleend
2019,Maoz Falafel,Damrak 40,Alcoholvrij,Lunchroom,2015-01-01 00:00:00.0,2020-01-01 00:00:00.0,07:00,03:00,07:00,04:00,07:00,01:00,07:00,02:00,,,,,,,,,,,,,,,,POINT (4.89617683520949 52.3757956794494),"POLYGON ((4.89627206281137 52.3757702005934, 4.89623719301123 52.375786678528, 4.89622265123586 52.3757751523257, 4.89620219165437 52.3757589354978, 4.89623706144565 52.3757424575733, 4.89627206281137 52.3757702005934))",Centrum,Verleend
2022,Manneken Pis,Damrak 41,Fastfood,Snackbar,2015-02-01 00:00:00.0,2020-02-01 00:00:00.0,07:00,03:00,07:00,04:00,07:00,01:00,07:00,02:00,,,,,,,,,,,,,,,,POINT (4.89613317905798 52.3757595484384),"POLYGON ((4.89616026631485 52.3757283030579, 4.89619403281072 52.3757109858573, 4.8962223282488 52.3757316514251, 4.8961885617482 52.3757489686337, 4.89616026631485 52.3757283030579))",Centrum,Verleend
10876,Tokyo Café,Damrak 44-1,Restaurant,Specificatie n.v.t.,2017-01-01 00:00:00.0,2022-01-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,01:00,07:00,02:00,,,,,,,,,,,,,,,,POINT (4.89597314024557 52.3756240722119),"POLYGON ((4.8959883502955 52.3755912228136, 4.89602386470211 52.3755752689942, 4.89605862159173 52.3756042495025, 4.89602310717437 52.3756202033321, 4.8959883502955 52.3755912228136))",Centrum,Verleend
10426,Lin2,Damrak 45-H,Restaurant,Specificatie n.v.t.,2014-04-01 00:00:00.0,2019-04-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,01:00,07:00,02:00,,,,,,,,,,,,,,,,POINT (4.89591489936433 52.3755788931388),"MULTIPOLYGON (((4.8959856216501 52.3755359689343, 4.89599712766003 52.3755455161787, 4.8959557649396 52.3755641877979, 4.89594425893382 52.3755546405496, 4.8959856216501 52.3755359689343)), ((4.89600802350592 52.3755545571293, 4.8960080235059 52.3755545571292, 4.8960080235059 52.3755545571292, 4.89603059971564 52.3755732899745, 4.89599056354836 52.3755913627783, 4.89596666078165 52.3755732287522, 4.89600802350592 52.3755545571293)))",Centrum,Verleend
8768,De Markies,Damrak 47,Restaurant,Specificatie n.v.t.,2014-03-01 00:00:00.0,2019-03-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,01:00,07:00,02:00,,,,,,,,,,,,,,,,POINT (4.89575466296161 52.3754613908933),"MULTIPOLYGON (((4.89583932754002 52.3754722944997, 4.89580889656282 52.3754475048079, 4.89583491596199 52.3754355409756, 4.89584411815533 52.3754313097645, 4.89587454914114 52.3754560994473, 4.89583932754002 52.3754722944997)), ((4.89584768944947 52.3754791062744, 4.89588291105295 52.3754629112195, 4.89588949120812 52.3754682715382, 4.89587471953071 52.3754750636264, 4.89585426960146 52.3754844665955, 4.89584768944947 52.3754791062744)))",Centrum,Verleend
10606,Stock B.V.,Damrak 50A,Restaurant,Specificatie n.v.t.,2014-06-01 00:00:00.0,2019-06-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,01:00,07:00,03:00,,,,,,,,,,,,,,,,POINT (4.89566755101172 52.3753711542596),"MULTIPOLYGON (((4.89571751970766 52.375327450487, 4.89573117545786 52.3753387074159, 4.8956994738708 52.37535311221, 4.89569580114881 52.3753547810466, 4.89568214540265 52.3753435241137, 4.89568792647084 52.3753408972726, 4.89571751970766 52.375327450487)), ((4.89575249008793 52.3753562675461, 4.89576807166982 52.3753691119858, 4.89574913050625 52.3753777186126, 4.89573270032469 52.3753851842756, 4.89571711874743 52.3753723398314, 4.89572683479955 52.3753679249836, 4.89575249008793 52.3753562675461)))",Centrum,Verleend
2013,Restaurant Dana,Damrak 51,Fastfood,Fastfood restaurant,2016-01-01 00:00:00.0,2021-01-01 00:00:00.0,07:00,03:00,07:00,04:00,07:00,01:00,07:00,02:00,,,,,,,,,,,,,,,,POINT (4.89560921129046 52.3753349621745),"POLYGON ((4.89567374863837 52.3752913705603, 4.89570875874996 52.3753202365757, 4.89567338486751 52.3753363067411, 4.8956383747663 52.3753074407155, 4.89567374863837 52.3752913705603))",Centrum,Verleend
2027,Teka Oriental,Damrak 53,Alcoholvrij,Broodjeszaak,2016-08-01 00:00:00.0,2021-08-01 00:00:00.0,07:00,03:00,07:00,04:00,07:00,01:00,07:00,02:00,,,,,,,,,,,,,,,,POINT (4.89552180138587 52.3752716868525),"MULTIPOLYGON (((4.89558593606943 52.3752684653128, 4.89558113900086 52.3752644886163, 4.89561658072777 52.3752484745877, 4.89562137779779 52.3752524512829, 4.89558593606943 52.3752684653128)), ((4.89557029904539 52.3752553883335, 4.89555067469091 52.3752391200254, 4.89558611640851 52.3752231060058, 4.89560574076893 52.3752393743081, 4.89557029904539 52.3752553883335)))",Centrum,Verleend
13561,Indian Restaurant Gandhi,Damrak 54,Restaurant,Specificatie n.v.t.,2017-01-01 00:00:00.0,2022-01-01 00:00:00.0,07:00,01:00,07:00,03:00,,,,,,,,,,,,,,,,,,,,POINT (4.89515449277743 52.3752881381764),,Centrum,Verleend
14745,SS Damrak BV,Damrak 57,Restaurant,Specificatie n.v.t.,2017-08-01 00:00:00.0,2020-08-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,01:00,07:00,02:00,,,,,,,,,,,,,,,,POINT (4.89537625146872 52.375154244984),"MULTIPOLYGON (((4.89544673878904 52.3751543126692, 4.89541642484394 52.3751296941291, 4.89545747064792 52.3751107626895, 4.89548778460291 52.3751353812193, 4.89544673878904 52.3751543126692)), ((4.89540847075313 52.3751232344525, 4.89539159041249 52.3751095255816, 4.89543263620835 52.3750905941505, 4.8954495165545 52.3751043030157, 4.89540847075313 52.3751232344525)))",Centrum,Verleend
1974,Snackland,Damrak 58-H,Fastfood,Fastfood restaurant,2016-02-01 00:00:00.0,2021-02-01 00:00:00.0,07:00,03:00,07:00,04:00,,,,,,,,,,,,,,,,,,,,POINT (4.89533279567098 52.3751001393933),,Centrum,Verleend
2000,Febo Damrak,Damrak 6,Fastfood,Fastfood restaurant,2014-11-01 00:00:00.0,2019-11-01 00:00:00.0,07:00,03:00,07:00,04:00,,,,,,,,,,,,,,,,,,,,POINT (4.89780882851846 52.3769528332327),,Centrum,Verleend
7723,Mc Donalds,Damrak 8-H,Fastfood,Fastfood restaurant,2016-12-01 00:00:00.0,2021-12-01 00:00:00.0,07:00,03:00,07:00,04:00,,,,,,,,,,,,,,,,,,,,POINT (4.89767735755117 52.3768893776695),,Centrum,Verleend
11979,Starbucks,Damrak 81,Alcoholvrij,Koffiehuis,2016-10-01 00:00:00.0,2021-10-01 00:00:00.0,07:00,03:00,07:00,04:00,07:00,01:00,07:00,02:00,,,,,,,,,,,,,,,,,,Centrum,Verleend
4705,Delifrance Damrak B.V.,Damrak 83B,Alcoholvrij,Broodjeszaak,2015-05-01 00:00:00.0,2020-05-01 00:00:00.0,07:00,03:00,07:00,04:00,07:00,01:00,07:00,02:00,,,,,,,,,,,,,,,,POINT (4.89413855944153 52.3742054110655),"POLYGON ((4.89428267277564 52.3742135598472, 4.8942328537987 52.374174653982, 4.89426752723029 52.3741580225403, 4.89431734621904 52.3741969283911, 4.89428267277564 52.3742135598472))",Centrum,Verleend
14605,KFC DAMRAK,Damrak 87,Fastfood,Fastfood restaurant,2017-08-01 00:00:00.0,2020-08-01 00:00:00.0,07:00,03:00,07:00,04:00,,,,,,,,,,,,,,,,,,,,POINT (4.89400849906477 52.374016131429),,Centrum,Verleend
10112,Restaurant Los Toros,Damrak 9,Restaurant,Specificatie n.v.t.,2016-07-01 00:00:00.0,2021-07-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,01:00,07:00,02:00,,,,,,,,,,,,,,,,POINT (4.8976191132813 52.3768441994433),"POLYGON ((4.89766593375223 52.376827561022, 4.8976354362569 52.3768022410684, 4.89767089842016 52.3767862429802, 4.89770139592477 52.3768115629249, 4.89766593375223 52.376827561022))",Centrum,Verleend
7722,Mc Donalds,Damrak 92-H,Fastfood,Fastfood restaurant,2016-12-01 00:00:00.0,2021-12-01 00:00:00.0,07:00,03:00,07:00,04:00,,,,,,,,,,,,,,,,,,,,POINT (4.89368784870971 52.373799095786),,Centrum,Verleend
1948,De Roode Leeuw,Damrak 93,Restaurant,Specificatie n.v.t.,2014-11-01 00:00:00.0,2019-11-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,01:00,07:00,02:00,,,,,,,,,,,,,,,,POINT (4.89361492866549 52.3737538544459),"POLYGON ((4.89112908002055 52.3720108485038, 4.89113417021273 52.3720024184405, 4.89127249418643 52.3720325841854, 4.89126740401699 52.3720410142546, 4.89117777909369 52.372020740853, 4.89117200892987 52.3720193685773, 4.89117108210491 52.3720208386599, 4.89115771108344 52.3720176640326, 4.89115863790877 52.3720161939501, 4.891154010032 52.3720150960797, 4.89115308330691 52.372016557175, 4.89112908002055 52.3720108485038))",Centrum,Verleend
13918,Royal 98,Damrak 98,Restaurant,Specificatie n.v.t.,2016-07-01 00:00:00.0,2019-07-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,01:00,07:00,02:00,,,,,,,,,,,,,,,,,"POLYGON ((4.89326906931448 52.3734508748939, 4.89331836810247 52.3734841749735, 4.893285723381 52.3735022788387, 4.89326726575761 52.3734898111849, 4.89323642459747 52.3734689787457, 4.89324872229872 52.3734621587855, 4.89326906931448 52.3734508748939))",Centrum,Verleend
